Meal Type,Recipe name,Calories (kcal),Protein (g),Fats (g),Ingredients,Instructions,Estimated Cost (₹)
Lunch,Lime-Cilantro Chicken And Broccoli,489.7,23.8,18.5,"'1 tablespoon freshly squeezed lime juice', ' cup packed cilantro leaves', '1 cup unsalted cashews, dry-roasted, raw, or toasted', ' cup avocado oil', '4 garlic cloves, roughly chopped', '1 tablespoon tamari', '1 tablespoon coconut aminos', '1 jalapeAo pepper, stemmed, seeded, and roughly chopped', '2 boneless, skinless chicken breasts, pounded thin (see tip below)', '1 large broccoli head, cut into florets', '2 tablespoons avocado oil'","1. Preheat the oven to .
2. In a food processor, pulse all the marinadedipping sauce ingredients to a pesto consistency.
3. Reserve half to serve as a dipping sauce.
4. Place the chicken on a parchment-lined baking sheet and coat it with the remaining marinade.
5. Coat the broccoli with avocado oil, then spread it on the baking sheet with the chicken.
6. Bake for 7 minutes, flip the chicken breasts and broccoli florets, and bake for 7 more minutes, until the chicken is cooked through and the broccoli is lightly browned.
7. Serve immediately with the dipping sauce.",322.15
Lunch,Instant Pot Coconut Green Curry Shrimp,531.5,15.3,10.6,"' (.5-ounce) can coconut milk', '1 tablespoon Thai green curry paste', '2 teaspoons grated fresh ginger', '2 cloves garlic, minced', ' teaspoon fine Himalayan pink salt', '1 (-ounce) bag frozen peeled and deveined shrimp (- count)', '3 cups ( ounces) baby spinacharugula blend', '1 tablespoon chopped fresh chives, for serving', 'Sriracha (optional), for serving'","1. In a 7-inch round baking dish, whisk together the coconut milk, green curry paste, ginger, garlic, and pink salt.
2. Add the shrimp and submerge in the coconut milk mixture.
3. Cover tightly with foil.
4. Place a trivet with handles in the Instant Pot.
5. Place the baking dish on the trivet.
6. Secure the lid on the pot and close the pressure-release valve.
7. Set the pot to HIGH pressure for 7 minutes.
8. At the end of the cooking time, quick-release the pressure.
9. Select CANCEL.
10. Divide the greens between two shallow bowls.
11. Top with the shrimp and curry sauce.
12. Sprinkle with the chives.
13. Serve with sriracha, if desired.",174.06
Snack,Better Than Celery Juice,208.5,1.5,8.1,"'3 Granny Smith apples, scrubbed, coarsely chopped', ' bunch parsley, coarsely chopped (leaves and stems)', '5 celery stalks with leaves attached, coarsely chopped, plus more for serving', ' cup apple cider vinegar', 'Pinch of kosher salt', ' tsp. freshly ground black pepper, plus more for serving'","1. PurAe apples, parsley, 5 celery stalks, and 3 cups water in batches in a blender.
2. Strain through a fine-mesh sieve into a pitcher, gently pressing with a spoon to extract as much liquid as possible (alternatively, run apples, parsley, and celery through a juicer and mix with 3 cups water).
3. Stir in vinegar, salt, and tsp. pepper and add more celery stalks.
4. To serve, pour 4 oz. juice into an ice-filled glass and sprinkle with pepper.",185.8
Lunch,Shredded Daikon Salad,635.5,19.7,30.0,"'1 large daikon (about 1 lb.), peeled, thinly sliced into (3""-long) matchsticks', ' tsp. kosher salt, divided', '1 red finger or Fresno chile, seeds removed, finely chopped', '2 garlic cloves, finely chopped', '2 Tbsp. toasted sesame oil', '2 Tbsp. unseasoned rice vinegar', '1 Tbsp. granulated sugar', ' tsp. store-bought or homemade chili crisp (optional)', 'Toasted white andor black sesame seeds (for serving)'","1. Toss daikon and tsp. salt in a medium bowl; let sit minutes.
2. Transfer to a dish towel and squeeze out excess moisture.
3. Meanwhile, whisk chile, garlic, oil, vinegar, sugar, and remaining tsp. salt in a large bowl and let sit minutes.
4. Add daikon to bowl and massage dressing into daikon.
5. Let sit at least minutes and up to 6 hours (cover and chill if holding longer than 1 hour).
6. To serve, stir in desired amount of chili crisp if using and top with sesame seeds.",181.17
Lunch,Okonomiyaki Aas You Like Ita Pancakes With Bonito Flakes,576.0,16.6,21.9,"'1 cups ( g) all-purpose flour', '1 teaspoon baking powder', ' teaspoon sea salt', '1 large egg, beaten', ' cups ( ml) whole milk or milk of your choice', '8 ounces ( g) cabbage, thinly sliced', '2 scallions, white and light green parts chopped', ' yellow, green, or red bell pepper, thinly sliced', '4 tablespoons vegetable oil', '8 ounces ( g) boneless chicken, shrimp, crab, or sukiyaki-style beef or pork, cut into -inch ( mm) pieces', '2 tablespoons mayonnaise', '2 tablespoon or more homemade or store-bought Tonkatsu Sauce', ' cup (4 g) bonito flakes', ' cup (4 g) crumbled nori'","1. Whisk together the flour, baking powder, and salt in a small bowl.In a medium bowl, whisk the egg and milk.
2. Add the flour mixture and mix until just blended.
3. The batter should be quite thin.
4. Add the chopped vegetables to the batter and mix well.Heat 1 tablespoon of the oil in a medium non- stick skillet over medium-high heat.
5. Pour cup ( ml) of the batter to make a 6-inch ( cm) pancake.
6. Cook until medium brown, about 1 minute.
7. Place of the meat on top of the pancake and then flip the meat side down.
8. Turn heat to low and cook until the bottom of the pancake is browned, the meat is thoroughly cooked, and the vegetables are tenderAabout minutes.
9. Repeat until the batter is used up.To serve, brush the pancake with mayonnaise and tonkatsu sauce, or soy sauce.
10. Sprinkle with the bonito flakes and crumbled nori.
11. Eat while piping hot.",330.6
Dinner,Paneer Butter Masala,444.5,18.5,18.9,"'Canola oil', '1 pound hard paneer, cut into -inch cubes', '3 tablespoons unsalted butter', '1 large yellow onion, finely chopped', '-inch piece of ginger, peeled and grated', '6 cloves of garlic, crushed', '2 (-ounce) cans of crushed tomatoes', '1 tablespoon kasoori methi (dried fenugreek leaves)', '1 teaspoon ground cinnamon', ' teaspoon ground cloves', ' teaspoon ground red chile', '2 tablespoons honey', ' teaspoons salt', ' cups peas (fresh or defrosted)', ' cup heavy cream (plus extra to serve)', 'A handful of toasted flaked almonds'","1. Put a tablespoon of oil into a large lidded frying pan over medium heat and, when hot, add the cubes of paneer.
2. Fry for a couple of minutes until golden on all sides, turning regularly, then remove to a plate.
3. Put the butter into the same pan over medium heat.
4. When hot, add the onion and fry for around minutes, until translucent and turning golden.
5. Add the ginger and garlic, stir-fry for 2 to 3 minutes, then add the crushed tomatoes.
6. Cover with the lid and cook for to minutes, until reduced to a lovely thick sauce.
7. Add the fenugreek leaves, cinnamon, cloves, ground red chile, honey, and salt to the pan.
8. Stir, then add the fried paneer, cover with a lid, and cook for 5 minutes, or until cooked through.
9. Add the peas and cream and cook for a further 5 minutes.
10. To serve, scatter with the almonds and drizzle with a little extra cream.
11. This curry is perfect with steamed basmati rice.",276.93
Dinner,Pesto Pasta Frittata,591.7,24.6,25.7,"'8 large eggs', ' cup whole milk or cream', ' cup grated Parmesan cheese', 'Kosher salt', 'Freshly ground black pepper', '1 cup (about 4 ounces) cooked pasta', ' cup pesto or Roasted GarlicAHerb Sauce, plus more for serving', '1 tablespoon unsalted butter'","1. Set a rack in the upper third of the oven and preheat it to .
2. In a large bowl, whisk together the eggs, milk, Parmesan, teaspoon kosher salt, and a few grinds of black pepper.
3. In a separate bowl, toss the pasta with the pesto or herb sauce.
4. Melt the butter in a -inch cast-iron skillet (or other nonstick oven-safe pan) over medium heat.
5. Pour the egg mixture into the skillet, then nestle in the pasta.
6. Cook, undisturbed, until the frittata is set around the edges but still looks wet on the surface, about 5 minutes.
7. Slide the frittata into the oven and bake until the top is set, about minutes.
8. Serve the frittata warm or at room temperature, with more pesto or herb sauce on the side.",94.78
Dinner,Salmon Confit With Lime Juniper And Fennel,469.2,23.6,22.6,"'2 limes', ' teaspoon fine sea salt, plus more as needed', ' teaspoon freshly ground black pepper', '4 dried juniper berries, lightly crushed with a mortar and pestle or the side of a heavy knife', ' teaspoon fennel seeds, lightly crushed with a mortar and pestle or the side of a heavy knife', '4 (6- to 8-ounce) skinless salmon fillets', '6 sprigs fresh marjoram or thyme', 'Extra-virgin olive oil, as needed', '1 large fennel bulb, with fronds', 'Flaky sea salt, for serving'","1. Heat the oven to .
2. Finely grate the zest from 1 of the limes and place the zest in a bowl (reserve the lime for later).
3. Stir in the salt, pepper, and crushed juniper berries and fennel seeds.
4. Sprinkle the mixture all over the salmon fillets and place them, packed close together, in a small baking dish (a large loaf pan or an 8-inch cake pan will work).
5. Thinly slice the remaining lime and lay the slices on the fish.
6. Tuck the marjoram sprigs around the fish.
7. Cover the fish with olive oilAyouAll need at least cup, possibly even 1 cup, to submerge it.
8. Bake the fish until itAs just cooked through, to minutes. (Thinner fillets may take less timeAstart checking at minutes.) Remove the fennel fronds from the bulb and chop enough to make cup.
9. Trim the fennel bulb and thinly slice it on a mandoline or with a very sharp knife.
10. In a bowl, toss the fennel fronds and slices with a pinch of fine sea salt.
11. Juice the zested lime and add juice, to taste, to the fennel.
12. Drizzle the fennel with oil.
13. Serve the salmon and fennel sprinkled with flaky sea salt.",209.18
Lunch,Coconut-Braised Chickpeas With Sweet Potatoes And Greens,531.0,21.1,10.1,"' cup slivered almonds', '2 tablespoons coconut or vegetable oil', '1 onion, thinly sliced', '2 garlic cloves, finely chopped', '1 tablespoon grated or finely chopped fresh ginger', ' teaspoons curry powder', '1 large bunch (about 8 ounces) greens, such as Swiss chard, kale, or collard greens, stems removed and leaves torn into medium-size pieces, washed, and shaken dry (there should be a little water still clinging to the leaves)', '1 (-ounce) can chickpeas, rinsed and drained', '1 (.5-ounce) can coconut milk', '2 teaspoons kosher salt', '4 Roasted Sweet Potato halves, cut into -inch pieces', '1 tablespoon fresh lime juice, plus additional wedges for serving', ' cup chopped fresh cilantro leaves and tender stems, plus more for serving', 'Plain yogurt, for serving'","1. Toast the almonds in a small, dry skillet set over medium heat, tossing and stirring frequently until the almonds take on a golden color, 3 to 5 minutes. (Be vigilantAthe almonds go from golden to burned like that.) Transfer the almonds to a plate and set aside to cool.
2. Warm a large Dutch oven over medium-high heat and add the oil.
3. Add the onion and cook, stirring occasionally, until softened a little, about 5 minutes.
4. Add the garlic, ginger, and curry powder and cook, stirring frequently, until it all gets really fragrant, 2 to 3 minutes more.
5. Add the greens to the pot and stir them into the onion mixture with a wooden spoon, scraping up any browned bits at the bottom of the pot while you do so. (If there are a lot of brown bits and theyAre sticking, add a teaspoon or two of water.) Add the chickpeas, coconut milk, 2 cups water, and the kosher salt.
6. Let the whole thing simmer, partially covered, for about minutes.
7. Add the sweet potatoes to the pot and cook for a minute or twoAjust enough to warm them through.
8. Stir in the lime juice and cilantro and taste for seasoning; add more salt or lime juice if necessary.
9. Serve the braised chickpeas in shallow bowls drizzled with yogurt, topped with the almonds and a few cilantro leaves, and with lime wedges on the side.",377.09
Lunch,Crispy Sheet-Pan Broccoli,434.3,21.8,13.0,"'3 large heads broccoli (3 to 4 pounds total), trimmed, cut into florets with some stalk attached (cut the florets in half if large)', ' cup olive oil', 'Kosher salt', 'Freshly ground black pepper'","1. Set the racks in the upper and lower thirds of the oven and preheat it to .
2. Line two large rimmed baking sheets with parchment paper.
3. Divide the broccoli between the sheets, arranging them in a single layer.
4. Drizzle each sheet of broccoli with cup oil, then season each with teaspoon salt and a few grinds of pepper.
5. Roast, stirring once and rotating the sheets halfway through, until the broccoli is crispy and charred in spots, to minutes.
6. Taste and adjust the seasoning, if desired.",61.02
